kommune_navn,fylke,målform,kommune_nr,from_url,pdf_link
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/5224511.181.kztt7ia7mtqtjn/L%C3%B8ype+1+Innset-Sl%C3%A5ttmoberget.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/5224459.181.bwmlwqtbms7bti/L%C3%B8ype+2+Altevatnet.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/anskaffelser.534126.no.html,https://www.bardu.kommune.no/getfile.php/5375495.181.bbqtzitultpsbb/Anskaffelsesstrategi+for+Bardu+kommune+2024-2028+-+vedtatt.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399839.181.izbwijmnjbabms/Skatteliste+boliger+formuesgrunnlag+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/5224460.181.klatzpw7jtumnt/L%C3%B8ype+3+Leinavatnet.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399840.181.lupslibbamtwqw/Skatteliste+boliger+kommunal+takst+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/5224507.181.tlts7mpanbqmln/L%C3%B8ype+4+Solli+Camping-Sverrevatnan.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399836.181.izzbnljswkpqpa/Skatteliste+landbrukseiendommer+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399835.181.kkwatmwtst7psb/Skatteliste+fritidseiendommer+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/landbruksplan.534144.no.html,https://www.bardu.kommune.no/getfile.php/158418.181/Landbruksplan+DEL+1.pdf
